Date,Close,High,Low,Open,Volume,MA_20,Daily_Return_%,Volatility_20
2025-09-03,58817.58203125,60315.48310165535,58518.00181716893,59516.6025307725,1641908,,,
2025-09-04,58418.140625,59117.16111111111,57319.67986111111,58917.44097222222,2592577,,-0.6791190532752234,
2025-09-05,58418.140625,59916.041666666664,58418.140625,59916.041666666664,1536092,,0.0,
2025-09-08,59117.1640625,60015.90473236909,58518.00361592061,58617.86369035051,1665995,,1.1965862487599566,
2025-09-09,59516.6015625,59616.46163223574,58917.44114408557,59616.46163223574,1361280,,0.6756709431759989,
2025-09-10,59816.18359375,60714.92424874791,59516.60337541736,59916.04366652754,1665136,,0.5033587661005923,
2025-09-11,59816.18359375,60515.20410319282,59616.4634481949,60215.62388486018,1793242,,0.0,
2025-09-12,65408.34765625,65907.64802003816,60115.76380009542,60415.34401836832,6828797,,9.34891483629241,
2025-09-15,63910.4453125,64909.04602050781,63610.86510009766,64909.04602050781,2370450,,-2.290078250595995,
2025-09-16,62811.984375,64609.46564487281,62512.40416335453,64509.60557432433,2130735,,-1.7187502483027695,
2025-09-17,62412.546875,63211.427475000004,62312.6868,62911.84725,992359,,-0.6359256182948747,
2025-09-18,64609.46484375,65008.90512099111,62811.983596164995,63111.56380409583,2541491,,3.5199941017468594,
2025-09-22,66307.0859375,67505.40676769578,65508.20538403614,67405.5466985128,2276896,,2.627511461138843,
2025-09-23,63211.42578125,66606.66824027449,62512.40527498025,66606.66824027449,4850268,,-4.668671699986815,
2025-09-24,62712.125,65108.766719745225,62512.4048566879,64509.606289808915,2786106,,-0.7898900793313568,
2025-09-25,63111.56640625,63910.446993670885,62112.96567197389,62212.825745401504,2815412,,0.6369444605010655,
2025-09-26,59217.0234375,62412.545781513494,59017.30329099916,62312.685708263074,4899137,,-6.170886242437357,
2025-09-29,60215.625,60615.06529850746,58717.72388059701,59316.88432835821,3131452,,1.6863420424263031,
2025-09-30,59516.6015625,61913.243236157716,59516.6015625,61913.243236157716,2019879,,-1.1608671960143258,
2025-10-01,59916.04296875,61014.503756510414,59716.32282552083,59716.32282552083,1644566,61364.0140625,0.6711428337025094,
2025-10-02,59816.18359375,60714.92424874791,59516.60337541736,60315.48395763773,2321148,61413.944140625,-0.16666550401548408,3.104695325592978
2025-10-10,62013.10546875,62013.10546875,60315.48422403382,60415.34429725241,2984964,61593.6923828125,3.6727884378593867,3.196210841916859
2025-10-13,59716.32421875,60615.06488424959,59516.604070861205,60615.06488424959,2615559,61658.6015625,-3.7037030038068464,3.3221783232778033
2025-10-14,59516.6015625,61214.22274800755,59316.88142302852,60215.62205065017,2138963,61678.5734375,-0.3344523609966066,3.3147076790287198
2025-10-15,59117.1640625,60115.76480679899,59017.3039880701,59616.46443464949,1659217,61658.6015625,-0.6711362704077461,3.3157596768943036
2025-10-16,58518.00390625,59816.18488027944,58118.56360654864,59117.16435580205,2296149,61593.692578125,-1.0135130224050548,3.321411971603895
2025-10-17,57918.84375,59416.744881465514,57818.98367456896,58518.004202586206,2052888,61498.8255859375,-1.0238902837661712,3.328353808417951
2025-10-20,58717.72265625,58917.44280133928,56820.38127790178,58018.7021484375,1646974,61164.2943359375,1.3793074145234563,2.5137955939017576
2025-10-21,62212.82421875,62911.84471558988,58917.44187650481,59117.162018459065,6975312,61079.41328125,5.952379289233178,2.8582601742298603
2025-10-22,60814.78515625,62811.98663921387,59916.04448891625,62712.12656506568,2244634,60979.5533203125,-2.247187907085324,2.8764390249013405
2025-10-23,58917.44140625,60215.6223185911,58917.44140625,60115.76224841102,2234207,60804.798046875,-3.1198724868059635,2.9524178667755785
2025-10-24,59117.1640625,59616.46443464949,58917.4439136402,59616.46443464949,1101507,60530.1830078125,0.33898732104278295,2.8216348025186244
2025-10-27,60814.78515625,61413.94560113916,59117.1638957307,59416.74411817529,2592815,60255.56796875,2.871621331421159,2.8359358290368046
2025-10-28,63610.8671875,64210.027631966244,61214.22540963501,61813.38585410125,5224554,60275.5400390625,4.597701075595495,2.8575079981478595
2025-10-29,67605.265625,69602.46697285821,63011.70252492615,63710.722996676515,11877149,60520.1970703125,6.279427736342713,3.166077315472047
2025-10-30,63411.14453125,68004.70775713582,63111.56432086614,67904.84768700787,5185767,60535.1759765625,-6.203837903713582,3.494327403094081
2025-10-31,65008.90625,66207.22710253455,64509.60589477726,64609.465965821815,3412818,60824.7701171875,2.519685980376196,3.2041836807144013
2025-11-03,64409.74609375,66806.38780886628,63910.44573643411,66506.80759447675,3029755,61034.476171875,-0.9216585708208269,3.2071241159562414
2025-11-04,64110.16796875,65408.34894007983,63710.727669879285,64609.4683423384,1815606,61264.1544921875,-0.4651130351669974,3.1932075016126378
2025-11-05,62612.265625,65508.20773524721,60415.34402412281,64709.32715311005,5643655,61398.965625,-2.3364505057608675,3.251082305968965
2025-11-06,60615.0625,63910.44481054366,60115.76214991763,63211.42432042834,4335582,61438.9095703125,-3.1897953301382342,3.341486147839832
2025-11-07,62712.125,65308.486863057326,60714.92356687898,61513.80414012739,9719245,61473.860546875,3.4596392604560933,3.3298749627098023
2025-11-10,62212.82421875,66307.0871288122,62112.96414777287,63311.28499949839,7999819,61598.685546875,-0.7961790184115136,3.2162145683645953
2025-11-11,64010.3046875,66606.6665000975,62412.54357205538,62412.54357205538,12337247,61823.370703125,2.889244285759762,3.2655837740061666
2025-11-12,63710.7265625,64709.32729231975,63411.14634355408,64609.46721933778,3227242,62053.048828125,-0.4680154647951573,3.2623424320797243
2025-11-13,63610.8671875,64110.16755788854,62612.26644672292,63511.00711342229,3253680,62307.6919921875,-0.15673871636362469,3.248050989297734
2025-11-14,61314.0859375,63111.567284201956,60914.6456382329,62312.68668566775,3530001,62477.4541015625,-3.6106743258663476,3.3601531258507804
2025-11-17,60615.0625,61913.24341021417,60415.34235996705,61613.663200164745,2541985,62572.32109375,-1.1400698988035862,3.366304390322539
2025-11-18,57419.54296875,60814.78550951087,57119.96274456522,60215.625061141305,5810827,62332.65703125,-5.271824195924902,3.2938861381585953
2025-11-19,58118.5625,58717.72293814433,56520.80133161512,57719.12220790378,2946680,62197.8458984375,1.2173895769780563,3.2798527419556254
2025-11-20,59017.30078125,59516.60112626904,58518.00043623096,59117.16085025381,2269237,62202.8388671875,1.546387664440263,3.2248745134383108
2025-11-21,58617.86328125,59217.023723647784,57020.10210152257,57519.40247018739,2528224,62177.873828125,-0.6768142471993643,3.228213410727014
2025-11-24,58717.72265625,59416.7431640625,57519.40178571428,59217.02301897321,2217014,62073.020703125,0.1703565592639844,3.1578033965866905
2025-11-25,57918.84375,59616.465032327586,57519.40344827586,59516.604956896546,1912277,61788.41953125,-1.3605413665765953,2.9636054135498515
2025-11-26,60914.64453125,60914.64453125,58118.56248719262,58418.14270619877,3312601,61453.8884765625,5.1724112349014195,2.8395222539394407
2025-11-27,59616.46484375,61114.36597047739,59616.46484375,60814.78574513191,1632051,61264.1544921875,-2.131145470009299,2.53749430169264
2025-11-28,58617.86328125,59816.184166045576,58518.00320751704,59816.184166045576,1603848,60944.60234375,-1.6750432369937673,2.466489076512221
2025-12-01,59416.7421875,60215.622754726886,58817.58176207983,58817.58176207983,1811973,60694.9521484375,1.3628591380360655,2.49800928587793
2025-12-02,59416.7421875,59716.32240021008,58717.72169117647,59516.602258403356,1158789,60460.280859375,0.0,2.499271373635491
2025-12-03,60515.203125,61214.22362314357,59716.32255569307,59716.32255569307,2256089,60355.427734375,1.8487397609811884,2.499382868371234
2025-12-04,60115.76171875,60415.34192665075,59416.74123364825,60115.76171875,1262524,60330.4626953125,-0.6600678600134802,2.398937323094251
2025-12-05,61413.9453125,61413.9453125,59916.04420731708,59916.04420731708,2164350,60265.5537109375,2.1594729179736927,2.3160354883993644
2025-12-08,61913.24609375,62612.26661416331,61114.36549899194,61613.665870715726,2032027,60250.5748046875,0.8130088023320159,2.317760802698753
2025-12-09,60714.92578125,61713.52653423109,60714.92578125,61713.52653423109,1385209,60085.805859375,-1.9354829347592029,2.251510721678572
2025-12-10,59117.1640625,60814.78532780828,59117.1640625,60814.78532780828,2378957,59856.127734375,-2.6315797939152286,2.314158171473716
2025-12-11,59117.1640625,59616.46443464949,58418.14354149071,59416.7442857897,2510659,59631.442578125,0.0,2.3151050617475972
2025-12-12,59716.32421875,59716.32421875,58717.72347930602,59316.88392297241,1252395,59551.5544921875,1.013513022405066,2.1992972499370667
2025-12-15,59516.6015625,60814.782469064594,58418.14079540688,58917.44114408557,1648246,59496.6314453125,-0.3344523609966066,2.186759266133744
2025-12-16,57818.98046875,59516.60165695164,57519.40025906736,59017.30130748057,2297669,59516.6033203125,-2.852348839117236,1.936350675624618
2025-12-17,56920.2421875,58218.423149671056,56920.2421875,58118.5630756579,1746055,59456.6873046875,-1.5544000844770145,1.947734433337914
2025-12-18,57020.1015625,57818.982144811736,55422.340397876535,55921.64076182136,1453355,59356.82734375,0.17543736843397273,1.9110303215697164
